idn,title,ts-idn,ts
1236157400,Sammlung von Briefumschlägen und Briefköpfen der Buchgemeinschaft Der Bücherkreis,041466144,Briefumschlag
1236157400,Sammlung von Briefumschlägen und Briefköpfen der Buchgemeinschaft Der Bücherkreis,042275423,Briefkopf
1236157540,Entwürfe und Korrekturfahnen von Titelblättern und Einbänden für verschiedene Verlage,041855760,Titelblatt
1236157540,Entwürfe und Korrekturfahnen von Titelblättern und Einbänden für verschiedene Verlage,04008602X,Bucheinband
1236157540,Entwürfe und Korrekturfahnen von Titelblättern und Einbänden für verschiedene Verlage,946122350,Fahne
1236157540,Entwürfe und Korrekturfahnen von Titelblättern und Einbänden für verschiedene Verlage,041212088,Entwurf
1236157729,Mappe mit Probedrucken und Entwürfen für Schriftschreiben für Setzer,040085708,Buch
1236157729,Mappe mit Probedrucken und Entwürfen für Schriftschreiben für Setzer,943626668,Probedruck
1236157729,Mappe mit Probedrucken und Entwürfen für Schriftschreiben für Setzer,041212088,Entwurf
1236157729,Mappe mit Probedrucken und Entwürfen für Schriftschreiben für Setzer,041262735,Manuskript
1236157869,Probedrucke für Werbeprospekt Ankündigung der Buchreihe Fototek mit Bestellschein,041363906,Prospekt
1236157869,Probedrucke für Werbeprospekt Ankündigung der Buchreihe Fototek mit Bestellschein,943626668,Probedruck
1236158105,Reproduktionen und Klebeentwürfe der Transito,040131203,Druckschrift
1236158105,Reproduktionen und Klebeentwürfe der Transito,041157494,Reproduktion
1236158105,Reproduktionen und Klebeentwürfe der Transito,041212088,Entwurf
1236158245,Entwurfszeichnungen verschiedener Schrifttypen,040532976,Schrift
1236158245,Entwurfszeichnungen verschiedener Schrifttypen,041524586,Entwurfszeichnung
1236158369,Montiertes Corporate Design für die Süddeutsche Holzwirtschaftsbank AG,040195589,Gebrauchsgrafik
1236158369,Montiertes Corporate Design für die Süddeutsche Holzwirtschaftsbank AG,042757517,Briefbogen
1236158369,Montiertes Corporate Design für die Süddeutsche Holzwirtschaftsbank AG,042275423,Briefkopf
1236158369,Montiertes Corporate Design für die Süddeutsche Holzwirtschaftsbank AG,041271378,Formular
1236158369,Montiertes Corporate Design für die Süddeutsche Holzwirtschaftsbank AG,041466144,Briefumschlag
1236158423,Corporate Design für die Süddeutsche Holzwirtschaftsbank AG,040195589,Gebrauchsgrafik
1236158423,Corporate Design für die Süddeutsche Holzwirtschaftsbank AG,042757517,Briefbogen
1236158423,Corporate Design für die Süddeutsche Holzwirtschaftsbank AG,042275423,Briefkopf
1236158423,Corporate Design für die Süddeutsche Holzwirtschaftsbank AG,041271378,Formular
1236158423,Corporate Design für die Süddeutsche Holzwirtschaftsbank AG,041466144,Briefumschlag
1236158482,Konvolut von Typographischen Skizzen und Notizen zur Typographie,042067774,Notiz
1236158482,Konvolut von Typographischen Skizzen und Notizen zur Typographie,041816684,Skizze
1236158547,"Konvolut Akzidenzen, Schülerarbeiten und Probedrucke Münchner Zeit",957199023,Mappe
1236158598,Konvolut Probedrucke und Entwürfe für Exlibris und Firmenzeichen,04015985X,Exlibris
1236158598,Konvolut Probedrucke und Entwürfe für Exlibris und Firmenzeichen,041249798,Firmenzeichen
1236158598,Konvolut Probedrucke und Entwürfe für Exlibris und Firmenzeichen,943626668,Probedruck
1236158598,Konvolut Probedrucke und Entwürfe für Exlibris und Firmenzeichen,041212088,Entwurf
1236158717,Konvolut Exlibris,04015985X,Exlibris
1236158768,Klischee und Klischeeabzüge von Schriftübung mit einem Zitat von Romain Rolland,041799887,Schreibübung
1236158768,Klischee und Klischeeabzüge von Schriftübung mit einem Zitat von Romain Rolland,040731685,Kalligraphie
1236158768,Klischee und Klischeeabzüge von Schriftübung mit einem Zitat von Romain Rolland,941715787,Klischee
1236158830,Konvolut Entwurfsskizzen für Vignetten und Buchschmuck,040086488,Buchkunst
1236158830,Konvolut Entwurfsskizzen für Vignetten und Buchschmuck,041882954,Vignette
1236158830,Konvolut Entwurfsskizzen für Vignetten und Buchschmuck,041212088,Entwurf
1236158830,Konvolut Entwurfsskizzen für Vignetten und Buchschmuck,041816684,Skizze
1236159020,Konvolut Fotoabzüge von Buchseiten mit Kalligraphien von Jan Tschichold,,
1236159144,Entwurfszeichnungen und Radierung von Neujahrswunsch Ein gut und selig Neu Jahr wünscht Johannes Tzschichhold,041715640,Neujahrswunsch
1236159144,Entwurfszeichnungen und Radierung von Neujahrswunsch Ein gut und selig Neu Jahr wünscht Johannes Tzschichhold,040481662,Radierung
1236159144,Entwurfszeichnungen und Radierung von Neujahrswunsch Ein gut und selig Neu Jahr wünscht Johannes Tzschichhold,041524586,Entwurfszeichnung
1236159268,Konvolut Skizzen für Bucheinbände,04008602X,Bucheinband
1236159268,Konvolut Skizzen für Bucheinbände,042846560,Buchrücken
1236159268,Konvolut Skizzen für Bucheinbände,041212088,Entwurf
1236159268,Konvolut Skizzen für Bucheinbände,041816684,Skizze
1236159322,Kalligrafische Abschriften von Lyrik verschiedener Verfasser,042791367,Abschrift
1236159381,"Fotoabzüge von Konvolut Kalligrafische Übungen, Schriftübungen",041389999,Schriftprobe
1236159381,"Fotoabzüge von Konvolut Kalligrafische Übungen, Schriftübungen",040731685,Kalligraphie
1236159381,"Fotoabzüge von Konvolut Kalligrafische Übungen, Schriftübungen",040495442,Reprographie
1236159497,"Konvolut Kalligrafische Übungen, Schriftübungen",041389999,Schriftprobe
1236159497,"Konvolut Kalligrafische Übungen, Schriftübungen",040731685,Kalligraphie
1236170598,Druckbögen für den Abbildungsteil von Leben und Werk des Typographen Jan Tschichold,04123412X,Illustration
1236170598,Druckbögen für den Abbildungsteil von Leben und Werk des Typographen Jan Tschichold,951550128,Druckbogen
123617061X,Druckfahnen für den Abbildungsteil von Leben und Werk des Typographen Jan Tschichold,04123412X,Illustration
