idn,title,ort-idn,ort-name
1236288386,"Briefbogen für Rud. Mettauer-Schneebeli, Schreinerei",040046176,Basel
1236288475,Briefbogen für Firma Fritz Lamm,040046176,Basel
123628853X,Briefbogen für Dr. Ziegler & Cie. Aktiengesellschaft,040046176,Basel
1236288572,Mappe mit Entwurfszeichnungen Uhertype Halbfette Standard-Grotesk,041277937,München
1236288572,Mappe mit Entwurfszeichnungen Uhertype Halbfette Standard-Grotesk,040046176,Basel
1236288610,Briefbögen und Briefumschläge für Benno Schwabe & Co,040046176,Basel
123628867X,"Geschäftsdrucksachen für Firma Wackernagel & Schönholzer, Gartenbau",040499790,Riehen
1236288750,Briefbogen für Emil Haller - Reklame- und Einzelhandelsberater,977265463,Gümlingen
1236288777,"Briefbogen, Rechnungsvordruck und Visitenkarte für Vereinigung Basler Fotografen",040046176,Basel
1236288831,Probedrucke von Rechnungsvordruck für Art Institut Grafic AG,040046176,Basel
1236288939,Verkleinertes Fotorepro von Plakat Kunsthalle Basel Chagall,040046176,Basel
1236288955,Die @Elemtentarschrift in der Berufsschule,041277937,München
1236288955,Die @Elemtentarschrift in der Berufsschule,040046176,Basel
1236288963,Familienbüchlein,040046176,Basel
1236288971,Probedruck von Schriftzug Volks-Hochschul-Kurse,040046176,Basel
1236288998,Druckklischees mit Lettern einer Antiqua,,
1236289013,Druckklischee Edward Cocker für Neujahrswunsch Edward Cocker,,
1236289021,Manuskript Ohne Titel,040046176,Basel
1236289056,Werbeplakat für Bücherkreis: Karl und Jenny Marx,041277937,München
1236289072,Entwurf für einen Umschlag von Viel Lärm um Liebe,040046176,Basel
1236289099,Probedruck Grußkarte Neujahrswunsch 1934,040046176,Basel
1236289110,Glückwunschkarte Herzlichen Glückwunsch,040046176,Basel
1236289129,Empfehlungskarte mit Korrektur für den Holbein Verlag,040046176,Basel
1236289137,Probedruck und Belegexemplar Briefbogen für Eugène Reymond,040046176,Basel
1236289145,Empfehlungskarte Neujahrswünsche für Benno Schwabe & Co,040046176,Basel
1236289188,Zum neuen Jahre,040046176,Basel
1236289226,Probedruck eines Exlibris für Miriam Wackernagel,040046176,Basel
1236289242,Mintfarbenes Stück Leinen mit rotem Probedruck der Ornamente für Rücken und Vorderdeckel,040046176,Basel
1236289315,Visitenkarte Verlagsbuchhandlung Benno Schwabe & Co,040046176,Basel
1236289374,über el lissitzky,041277937,München
1236289560,Entwurf und Probedruck Briefbogen pictura gmbh für Schriftprobe von Zeus,041277937,München
1236289749,Schriftproben und Probedrucke der Saskia,040352064,Leipzig
1236289862,Erinnerungsblätter zum Abschied von Schuldirektor Georg Seitz,041277937,München
1236290097,Diapositive der Uhertype Standard-Grotesk und von Uhertype Werbematerial,04068038X,Zürich
1236290283,Probedruck für Werbeanzeige Auktion 105 Paul Graupe,040057283,Berlin
1236290437,Entwurf für den Bucheinband von Und nun warten wir auf das Schiff,041277937,München
1236290712,"Entwurf für den Bucheinband von Silja, die Magd",041277937,München
1236290852,Entwurf für den Bucheinband von Die gefiederte Schlange,041277937,München
1236290984,Der Ausbau der Meisterschule ist jetzt vollendet,041277937,München
1236291069,Programmheft für Künstlervereinigung Die Juryfreien,041277937,München
1236291158,Probedrucke von Einladungskarte für Ausstellung Theodor Fischer,041277937,München
1236291204,Probedrucke von Broschur für Typografische Entwurfstechnik,041277937,München
1236291271,Entwurfsskizzen und Korrekturfahnen von Broschur für Typografische Entwurfstechnik,041277937,München
1236291328,Diplomurkunde der Meisterschule für Deutschlands Buchdrucker für Werner Pilgrim,041277937,München
1236291395,Probedrucke von Werbeanzeige Bist du schon im Bücherkreis?,040057283,Berlin
1236291441,Beitrittserklärung Der Bücherkreis,040057283,Berlin
1236291522,Probedruck von Werbeanzeige Mit Kamera und Schreibmaschine durch Europa,040057283,Berlin
